nprobe,recall,qps
1,0.3190,27.0
2,0.4415,27.1
3,0.5148,27.1
5,0.6000,27.2
10,0.7075,26.9
20,0.7947,26.8
30,0.8373,26.7
50,0.8835,26.2
100,0.9312,25.2
200,0.9645,23.4
500,0.9918,19.7
1000,0.9997,16.0
