ef,recall,qps
2000,0.9998,12.1
1900,0.9998,12.6
1800,0.9998,13.0
1700,0.9998,13.4
1600,0.9997,13.8
1500,0.9997,14.3
1400,0.9996,14.8
1300,0.9996,15.4
1200,0.9996,15.9
1100,0.9996,16.4
1000,0.9996,17.1
900,0.9995,17.7
800,0.9993,18.5
700,0.9995,19.3
600,0.9995,20.8
500,0.9993,21.1
400,0.9987,21.6
300,0.9981,22.2
250,0.9978,22.5
200,0.9979,22.6
180,0.9977,22.8
160,0.9970,22.8
140,0.9973,22.8
120,0.9969,23.2
100,0.9958,23.5
90,0.9956,23.4
80,0.9953,23.4
70,0.9947,23.5
60,0.9927,23.6
55,0.9913,23.8
50,0.9902,23.9
45,0.9879,23.7
40,0.9861,23.9
35,0.9851,23.9
30,0.9808,24.1
25,0.9751,24.2
20,0.9685,24.1
15,0.9568,24.2
10,0.9365,24.4
