L,Cmps,QPS,Recall
1700,76748,72.9607,95.42
1400,67662,86.1698,94.75
1100,57570,105.731,93.85
1000,53894,115.028,93.375
900,50077,125.834,92.815
800,46132,128.353,92.355
700,41941,139.597,91.465
600,37513,159.198,90.635
500,32758,185.943,89.465
400,27685,226.04,88.005
300,22208,289.687,85.72
250,19242,340.483,84.16
200,16131,412.456,82.26
180,14831,451.671,81.185
160,13480,500.5,79.76
140,12099,561.956,78.35
120,10670,642.88,76.345
100,9189,752.162,74.03
90,8443,822.03,72.615
80,7669,909.091,71.165
70,6899,1018.85,69.68
60,6093,1156.07,67.55
55,5686,1235.33,66.445
50,5276,1336.01,64.985
45,4863,1459.85,63.365
40,4435,1601.28,61.59
35,4007,1777.78,59.56
30,3569,1992.03,57.28
25,3119,2290.95,54.44
20,2651,2699.06,50.94
15,2174,3278.69,46.75
10,1673,4282.66,40.935
