ef_search,recall,qps
2000,0.8557,1.1
1900,0.8557,1.1
1800,0.8557,1.1
1700,0.8557,1.1
1600,0.8557,1.2
1500,0.8557,1.1
1400,0.8557,1.2
1300,0.8557,1.2
1200,0.8557,1.2
1100,0.8557,1.2
1000,0.8557,1.2
900,0.8503,1.3
800,0.8436,1.3
700,0.8372,1.3
600,0.8267,1.2
500,0.8168,1.3
400,0.8024,1.3
300,0.7825,1.3
250,0.7694,1.3
200,0.7488,1.3
180,0.7413,1.3
160,0.7325,1.3
140,0.7217,1.3
120,0.7096,1.3
100,0.6933,1.3
90,0.6833,1.3
80,0.6747,1.3
70,0.6637,1.3
60,0.6512,1.3
55,0.6456,1.3
50,0.6387,1.3
45,0.6322,1.3
40,0.6256,1.1
35,0.6184,1.3
30,0.6106,1.3
25,0.6022,1.2
20,0.5954,1.2
15,0.5881,1.2
10,0.5790,1.2
