probes,recall,qps
1,0.7405,1.3
2,0.8136,1.3
3,0.8535,1.3
5,0.8971,1.2
10,0.9467,1.2
20,0.9827,1.2
30,0.9903,1.1
50,0.9936,1.0
100,0.9960,0.9
200,0.9969,0.8
500,0.9982,0.6
1000,0.9996,0.6
