L,Cmps,QPS,Recall
1700,9560,185.185,91.5
1400,8894,211.64,91.5
1100,8025,250,91.5
1000,7660,268.456,91.5
900,7263,287.77,91.25
800,6828,310.078,91
700,6342,357.143,90.75
600,5753,404.04,90
500,5151,465.116,89.25
400,4414,547.945,89
300,3540,689.655,87.75
250,3059,784.314,85.75
200,2561,930.233,84.5
180,2358,1025.64,83.75
160,2144,1111.11,82
140,1928,1250,81.25
120,1706,1379.31,79.25
100,1485,1600,78.25
90,1366,1739.13,77
80,1246,1904.76,76.25
70,1127,2105.26,74.25
60,1000,2352.94,73
55,933,2500,71.25
50,871,2857.14,71
45,808,3076.92,69.25
40,744,3333.33,67.25
35,679,3636.36,65.5
30,609,4000,61.5
25,539,5000,59.5
20,465,5714.29,56.25
15,379,8000,49.25
10,301,10000,43.5
