probes,recall,qps
1,0.8759,0.8
2,0.9102,0.7
3,0.9324,0.8
5,0.9558,0.8
10,0.9773,0.8
20,0.9899,0.8
30,0.9920,0.8
50,0.9935,0.8
100,0.9975,0.7
200,0.9979,0.7
500,0.9990,0.7
1000,1.0000,0.7
