ef_search,recall,qps
2000,0.9554,0.7
1900,0.9554,0.7
1800,0.9554,0.7
1700,0.9554,0.7
1600,0.9554,0.7
1500,0.9554,0.7
1400,0.9554,0.7
1300,0.9554,0.7
1200,0.9554,0.8
1100,0.9554,0.7
1000,0.9554,0.8
900,0.9525,0.8
800,0.9490,0.7
700,0.9452,0.7
600,0.9401,0.7
500,0.9322,0.7
400,0.9234,0.8
300,0.9111,0.7
250,0.9032,0.7
200,0.8939,0.7
180,0.8898,0.7
160,0.8861,0.7
140,0.8826,0.7
120,0.8782,0.7
100,0.8741,0.7
90,0.8725,0.7
80,0.8708,0.7
70,0.8692,0.8
60,0.8672,0.7
55,0.8656,0.7
50,0.8649,0.8
45,0.8638,0.8
40,0.8626,0.8
35,0.8617,0.8
30,0.8609,0.8
25,0.8595,0.8
20,0.8578,0.8
15,0.8560,0.7
10,0.8546,0.7
