L,Cmps,QPS,Recall
1700,11754,432.9,91.9
1400,10419,515.464,90.7
1100,8933,626.959,89.85
1000,8405,680.272,89.55
900,7832,743.494,88.85
800,7247,809.717,88.05
700,6621,888.889,86.75
600,5964,1000,86
500,5229,1149.43,85.55
400,4432,1351.35,83.9
300,3523,1652.89,81.1
250,3051,1886.79,79.6
200,2585,2222.22,78.65
180,2388,2380.95,77.65
160,2183,2564.1,76.45
140,1965,2816.9,75.4
120,1759,3125,74.15
100,1544,3448.28,72.95
90,1425,3703.7,70.9
80,1310,4000,69.35
70,1185,4347.83,67.45
60,1055,4761.9,65.1
55,992,5000,63.95
50,919,5405.41,62.25
45,858,5714.29,61.4
40,792,6060.61,59.15
35,727,6451.61,56.9
30,665,6896.55,55.25
25,596,7407.41,53.1
20,511,8333.33,48.4
15,428,9523.81,44.85
10,343,10526.3,38.8
