L,Cmps,QPS,Recall
1700,11202,220.751,100
1400,9824,263.505,100
1100,8311,322.581,100
1000,7779,349.04,100
900,7218,379.507,100
800,6638,421.053,100
700,6032,467.29,100
600,5390,531.915,99.95
500,4710,623.053,99.95
400,3993,749.064,99.95
300,3221,947.867,99.9
250,2814,1092.9,99.9
200,2388,1298.7,99.9
180,2209,1418.44,99.8
160,2024,1562.5,99.8
140,1835,1739.13,99.8
120,1639,1941.75,99.8
100,1435,2222.22,99.65
90,1331,2380.95,99.65
80,1222,2597.4,99.55
70,1112,2531.65,99.4
60,999,3225.81,99.25
55,942,3448.28,99.1
50,881,3703.7,99
45,819,4000,98.9
40,758,4255.32,98.85
35,695,4761.9,98.7
30,631,5263.16,98.3
25,565,5882.35,97.8
20,494,6896.55,96.7
15,421,8000,95.35
10,345,10000,91.45
