L,Cmps,QPS,Recall
1700,50469,99.7357,92.93
1400,44253,118.14,91.755
1100,37438,145.201,90.475
1000,35007,157.518,89.925
900,32455,211.171,89.22
800,29867,237.248,88.755
700,27039,217.085,87.705
600,24096,247.341,86.525
500,20989,288.143,85.01
400,17676,351.494,83.26
300,14107,450.653,80.705
250,12172,528.681,78.42
200,10161,642.88,75.875
180,9328,702.494,74.51
160,8470,779.12,73.03
140,7592,1084.01,71.12
120,6685,1144.82,69.255
100,5764,1175.09,66.575
90,5278,1282.87,65.01
80,4798,1420.45,63.25
70,4298,1586.04,61.03
60,3789,1998,58.455
55,3531,1955.03,57.06
50,3271,2072.54,55.345
45,3006,2254.79,53.51
40,2736,2472.19,51.65
35,2469,2735.98,49.53
30,2194,3565.06,47.085
25,1910,4301.08,44.16
20,1621,4405.29,40.745
15,1328,4926.11,36.855
10,1019,6269.59,31.6
