ef_search,recall,qps
2000,0.8060,10.1
1900,0.8060,11.2
1800,0.8060,11.4
1700,0.8060,11.4
1600,0.8060,11.4
1500,0.8060,10.7
1400,0.8060,10.4
1300,0.8060,10.5
1200,0.8060,10.4
1100,0.8060,10.4
1000,0.8060,10.5
900,0.7900,11.5
800,0.7755,11.9
700,0.7595,12.9
600,0.7395,14.7
500,1.0000,1.6
400,1.0000,1.6
300,0.8810,4.2
250,0.7360,11.1
200,0.6430,16.0
180,0.6180,17.1
160,0.5735,20.3
140,0.5415,21.8
120,0.4900,23.8
100,0.4560,26.3
90,0.4290,27.3
80,0.4060,28.6
70,0.3900,29.3
60,0.3570,31.8
55,0.3495,32.2
50,0.3325,32.5
45,0.3165,32.7
40,0.2980,32.6
35,0.2875,31.8
30,0.2640,35.0
25,0.2380,36.7
20,0.2115,37.1
15,0.1935,37.8
10,0.1670,37.7
