L,Cmps,QPS,Recall
1700,1120,1769.91,98.8
1400,1113,2272.73,98.8
1100,1098,2127.66,98.55
1000,1090,1785.71,98.4
900,1081,1904.76,98.3
800,1069,2197.8,98.25
700,1054,2325.58,97.95
600,1034,2500,97.7
500,1005,2597.4,97.2
400,968,2597.4,96.65
300,913,3571.43,95.5
250,874,3921.57,94.85
200,828,4347.83,94.4
180,805,4545.45,93.85
160,775,4761.9,93.25
140,744,5000,92.5
120,706,5405.41,91.9
100,662,5714.29,91.1
90,636,6060.61,90.55
80,607,4347.83,89.85
70,574,5555.56,89.35
60,539,7142.86,88.7
55,519,7407.41,88.4
50,498,7692.31,88.15
45,472,8000,87.55
40,445,8333.33,87.2
35,415,8695.65,86.5
30,382,9090.91,85.75
25,346,5882.35,84.75
20,305,8333.33,83.05
15,256,10526.3,80.4
10,203,11764.7,76.8
