efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9957,108.412,15.8504,16228.5
1400,0.99425,135.255,16.3241,14033.9
1100,0.9926,175.809,16.7916,11704.6
1000,0.9916,194.974,16.9507,10891.7
900,0.99065,217.493,17.1047,10056.7
800,0.9896,246.53,17.2646,9195.61
700,0.98805,280.138,17.4109,8309.48
600,0.98545,326.819,17.5668,7387.6
500,0.9822,436.695,17.8077,6425.64
400,0.97725,528.929,17.9352,5413.18
300,0.96845,664.416,18.0601,4335.92
250,0.9634,822.773,18.1551,3765.2
200,0.9546,1015.58,18.2314,3166.84
180,0.94995,1121.3,18.2624,2919.01
160,0.94435,1241.2,18.2911,2664.01
140,0.9373,1331.45,18.3094,2401.93
120,0.92875,1433.1,18.3273,2130.64
100,0.9158,1746.14,18.3694,1850.36
90,0.9076,2001.58,18.3941,1705.26
80,0.8974,2191.42,18.4088,1557.32
70,0.88305,2469.34,18.4262,1405.45
60,0.8663,2711.8,18.4385,1248.64
55,0.85455,2879.57,18.4458,1168.12
50,0.84145,3387.86,18.4635,1086.45
45,0.82715,3489.5,18.4665,1002.95
40,0.80895,4274.87,18.4844,917.516
35,0.78845,5026.98,18.4964,830.131
30,0.76035,5676.4,18.5042,740.635
25,0.7219,6675.86,18.5132,648.348
20,0.66805,8089.27,18.5222,552.953
15,0.5827,10219.6,18.531,453.499
10,0.44605,14135.8,18.5404,347.623
