ef,recall,qps
2000,1.0000,32.7
1900,1.0000,32.6
1800,1.0000,33.0
1700,1.0000,33.3
1600,1.0000,32.8
1500,1.0000,33.1
1400,1.0000,33.3
1300,1.0000,32.9
1200,1.0000,33.1
1100,1.0000,33.0
1000,1.0000,32.9
900,1.0000,33.0
800,1.0000,33.3
700,1.0000,33.2
600,1.0000,34.0
500,1.0000,33.4
400,1.0000,33.4
300,1.0000,33.9
250,1.0000,33.2
200,1.0000,33.5
180,1.0000,33.4
160,1.0000,34.0
140,1.0000,33.9
120,1.0000,34.0
100,1.0000,32.9
90,1.0000,33.7
80,1.0000,33.2
70,1.0000,33.3
60,1.0000,32.9
55,1.0000,33.3
50,1.0000,33.6
45,1.0000,33.4
40,1.0000,33.3
35,1.0000,33.4
30,1.0000,33.8
25,1.0000,32.4
20,1.0000,32.4
15,1.0000,33.0
10,1.0000,32.8
