nprobe,recall,qps
1,0.0850,69.2
2,0.2400,70.6
3,0.4435,77.0
5,0.7825,67.4
10,0.9760,64.4
20,0.9920,66.1
30,0.9960,62.2
50,0.9985,67.2
100,0.9995,63.2
200,1.0000,29.2
500,1.0000,28.6
1000,1.0000,27.4
