probes,recall,qps
1,0.4883,742.3
2,0.6167,493.6
3,0.6923,355.8
5,0.7862,245.2
10,0.8775,188.1
20,0.9337,126.3
30,0.9589,102.4
50,0.9777,70.8
100,0.9919,45.8
200,0.9957,22.7
500,0.9972,9.9
1000,0.9977,2.6
