ef_search,recall,qps
2000,0.9873,54.5
1900,0.9873,55.6
1800,0.9873,55.4
1700,0.9873,55.9
1600,0.9873,57.0
1500,0.9873,55.9
1400,0.9873,55.5
1300,0.9873,55.3
1200,0.9873,56.0
1100,0.9873,55.6
1000,0.9873,57.8
900,0.9863,61.5
800,0.9859,67.1
700,0.9845,75.2
600,0.9834,83.2
500,0.9820,97.3
400,0.9785,112.7
300,0.9733,134.2
250,0.9709,152.1
200,0.9658,176.7
180,0.9613,186.8
160,0.9558,204.0
140,0.9509,225.4
120,0.9434,245.7
100,0.9325,279.8
90,0.9233,300.2
80,0.9153,324.5
70,0.9041,346.1
60,0.8863,379.5
55,0.8722,399.9
50,0.8572,417.6
45,0.8375,443.8
40,0.8064,471.7
35,0.7735,501.5
30,0.7272,544.2
25,0.6643,565.2
20,0.5846,593.5
15,0.4642,653.6
10,0.3225,691.9
