ef,recall,qps
2000,0.9999,18.9
1900,0.9999,19.4
1800,0.9999,20.0
1700,0.9999,20.3
1600,0.9999,20.7
1500,0.9999,21.1
1400,0.9999,21.4
1300,0.9999,21.8
1200,0.9999,22.1
1100,0.9999,22.7
1000,0.9998,23.0
900,0.9997,23.3
800,0.9997,23.8
700,0.9996,24.1
600,0.9995,24.9
500,0.9993,25.4
400,0.9989,25.6
300,0.9985,25.8
250,0.9983,26.1
200,0.9983,26.5
180,0.9980,26.5
160,0.9976,26.9
140,0.9970,27.3
120,0.9964,27.3
100,0.9952,27.4
90,0.9947,27.5
80,0.9942,27.4
70,0.9932,27.7
60,0.9924,27.8
55,0.9913,27.5
50,0.9900,27.8
45,0.9891,27.8
40,0.9884,27.8
35,0.9870,27.9
30,0.9832,28.0
25,0.9797,27.9
20,0.9724,28.2
15,0.9638,27.9
10,0.9483,28.2
