ef_search,recall,qps
2000,0.9993,4.2
1900,0.9993,4.2
1800,0.9993,4.3
1700,0.9993,4.2
1600,0.9993,4.2
1500,0.9993,4.2
1400,0.9993,4.2
1300,0.9993,4.2
1200,0.9993,4.2
1100,0.9993,4.2
1000,0.9993,4.3
900,0.9992,4.3
800,0.9990,4.3
700,0.9989,4.4
600,0.9986,4.4
500,1.0000,2.9
400,1.0000,2.9
300,1.0000,2.9
250,1.0000,2.9
200,1.0000,3.0
180,1.0000,3.0
160,1.0000,3.0
140,1.0000,3.0
120,0.9845,4.7
100,0.9801,4.7
90,0.9775,4.6
80,0.9732,4.6
70,0.9659,4.8
60,0.9575,4.6
55,0.9498,4.5
50,0.9422,4.5
45,0.9348,4.5
40,0.9250,4.6
35,0.9148,4.6
30,0.9031,4.6
25,0.8920,4.6
20,0.8792,4.6
15,0.8685,4.6
10,0.8554,4.6
