probes,recall,qps
1,0.6598,7.9
2,0.7054,7.7
3,0.7418,7.6
5,0.7989,7.1
10,0.8833,6.3
20,1.0000,2.9
30,0.9599,5.5
50,0.9812,5.0
100,0.9954,4.0
200,1.0000,2.9
500,1.0000,3.0
1000,1.0000,3.0
