efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.004,38337.4,169.274,0.04
1400,0.004,43743.1,169.366,0.04
1100,0.004,44553.9,169.378,0.04
1000,0.004,45415,169.39,0.04
900,0.004,46361.3,169.403,0.04
800,0.004,46871.6,169.41,0.04
700,0.004,47730.3,169.421,0.04
600,0.004,48332.6,169.429,0.04
500,0.004,48996,169.437,0.04
400,0.004,49234.7,169.44,0.04
300,0.004,49443.6,169.442,0.04
250,0.004,50075.3,169.449,0.04
200,0.004,50279.4,169.452,0.04
180,0.004,50186.1,169.451,0.04
160,0.004,50686.5,169.456,0.04
140,0.004,51047.3,169.46,0.04
120,0.004,51999.8,169.471,0.04
100,0.004,52109.6,169.472,0.04
90,0.004,52096.7,169.472,0.04
80,0.004,52675.7,169.478,0.04
70,0.004,53105.9,169.482,0.04
60,0.004,52991.8,169.481,0.04
55,0.004,52825,169.479,0.04
50,0.004,51800.7,169.468,0.04
45,0.004,51650.8,169.467,0.04
40,0.004,52547,169.476,0.04
35,0.004,52422.2,169.475,0.04
30,0.004,53176.6,169.483,0.04
25,0.004,53519.3,169.486,0.04
20,0.004,46676,169.408,0.04
15,0.004,52672.4,169.478,0.04
10,0.004,53291.5,169.484,0.04
