L,Cmps,QPS,Recall
1700,64936,75.2383,94.858
1400,56349,89.4382,94.022
1100,47106,112.232,92.746
1000,43853,123.074,92.194
900,40470,135.421,91.518
800,36979,151.053,90.699
700,33344,169.251,89.749
600,29542,194.772,88.394
500,25573,228.477,86.739
400,21373,280.788,84.496
300,16903,364.259,80.99
250,14541,435.692,78.553
200,12087,533.39,75.453
180,11069,585.138,73.838
160,10030,651.296,72.124
140,8973,735.348,70.035
120,7895,830.565,67.521
100,6782,976.658,64.528
90,6220,1087.07,62.904
80,5649,1204.67,60.972
70,5069,1352.08,58.865
60,4480,1531.39,56.48
55,4185,1652.89,55.15
50,3882,1792.76,53.626
45,3581,1930.87,51.992
40,3278,2150.54,50.301
35,2971,2373.61,48.5
30,2659,2646.9,46.267
25,2345,3016.59,43.902
20,2027,3526.09,41.014
15,1692,4280.82,37.575
10,1326,5583.47,32.44
