L,Cmps,QPS,Recall
1700,3359,894.614,99.961
1400,3048,1042.86,99.961
1100,2696,1235.94,99.962
1000,2569,1316.31,99.962
900,2433,1436.99,99.963
800,2287,1618.38,99.963
700,2130,1759.32,99.963
600,1959,2007.63,99.961
500,1772,2346.32,99.958
400,1563,2748.76,99.955
300,1324,3444.71,99.954
250,1189,3977.72,99.949
200,1041,4725.9,99.937
180,976,5120.33,99.931
160,908,5592.84,99.927
140,837,6195.79,99.9
120,760,6973.5,99.872
100,678,8019.25,99.812
90,634,8688.1,99.77
80,589,9505.7,99.696
70,541,10493.2,99.585
60,490,11764.7,99.401
55,464,12531.3,99.277
50,436,13459,99.116
45,408,14619.9,98.892
40,379,15898.3,98.607
35,348,17482.5,98.161
30,316,19455.3,97.509
25,283,22172.9,96.538
20,248,25906.7,95.008
15,211,31152.6,92.305
10,171,39682.5,87.239
