L,Cmps,QPS,Recall
1700,13016,359.079,95.565
1400,11386,459.453,94.729
1100,9612,652.273,93.58
1000,8983,588.547,93.106
900,8329,740.192,92.53
800,7641,725.374,91.757
700,6924,817.929,90.886
600,6176,983.091,89.89
500,5385,1167.68,88.512
400,4544,1387.73,86.7
300,3637,2166.38,84.059
250,3154,2552.97,82.289
200,2648,3122.07,80.004
180,2436,3423.49,78.786
160,2221,3796.51,77.481
140,1998,4284.49,75.92
120,1769,4882.81,74.059
100,1532,5730.66,71.857
90,1411,6317.12,70.515
80,1286,6993.01,68.931
70,1159,7806.4,67.125
60,1029,8818.34,65.006
55,963,9389.67,63.797
50,895,10183.3,62.37
45,827,11037.5,60.913
40,758,11990.4,59.207
35,687,13262.6,57.279
30,616,14662.8,55.029
25,543,16583.7,52.402
20,468,19011.4,49.175
15,390,22271.7,44.936
10,307,27548.2,39.19
