ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_equality/tripclick_equality_Q4_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_equality/Q4_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,0.6945,294.551,5155.27
1400,0.6945,328.947,4684.1
1100,0.6945,383.142,4152.96
1000,0.6945,409.836,3956.28
900,0.6945,439.56,3744.94
800,0.6945,473.934,3520.05
700,0.6945,518.135,3281.74
600,0.6945,573.066,3022.41
500,0.6945,643.087,2738.72
400,0.694,746.269,2425.08
300,0.6935,913.242,2058.47
250,0.6935,1036.27,1851.93
200,0.6925,1212.12,1620.98
180,0.692,1307.19,1522.46
160,0.6915,1418.44,1417.22
140,0.691,1562.5,1305.47
120,0.6905,1739.13,1185.02
100,0.69,1980.2,1053.68
90,0.6905,2127.66,983.21
80,0.69,2325.58,910.725
70,0.6885,2564.1,834.65
60,0.6885,2857.14,755.88
55,0.687,3030.3,714.085
50,0.6855,3225.81,670.48
45,0.685,3508.77,623.76
40,0.6825,3846.15,578.695
35,0.6805,4166.67,532.645
30,0.676,4651.16,479.97
25,0.672,5263.16,427.475
20,0.661,6060.61,369.49
15,0.652,7142.86,311.95
10,0.624,9523.81,247.12
