ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_equality/tripclick_equality_Q3_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_equality/Q3_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,0.62,2127.66,1055.02
1400,0.62,2127.66,1055.02
1100,0.62,2173.91,1053.9
1000,0.62,2197.8,1052.45
900,0.62,2222.22,1049.65
800,0.62,2298.85,1044.69
700,0.62,2409.64,1036.22
600,0.62,2531.65,1021.85
500,0.62,2666.67,1000.37
400,0.62,2898.55,968.26
300,0.62,3225.81,915.755
250,0.62,3448.28,878.31
200,0.62,3703.7,826.18
180,0.62,3921.57,800.09
160,0.62,4081.63,768.895
140,0.62,4347.83,733.125
120,0.62,4651.16,690.575
100,0.62,5000,640.56
90,0.62,5263.16,611.37
80,0.62,5555.56,580.185
70,0.62,5882.35,544.145
60,0.62,6451.61,505.88
55,0.62,6666.67,483.28
50,0.62,6896.55,459.805
45,0.62,7407.41,434.6
40,0.6195,8000,407.985
35,0.621,8333.33,378.675
30,0.62,9090.91,346.16
25,0.62,10000,310.515
20,0.6185,11764.7,273.385
15,0.615,13333.3,230.71
10,0.613,16666.7,185.38
