ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_equality/tripclick_equality_Q5_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_equality/Q5_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,0.8065,95.8313,14567.8
1400,0.806,111.545,12759.5
1100,0.806,133.245,10788.8
1000,0.806,143.472,10081.9
900,0.806,154.919,9355.92
800,0.806,169.924,8591.17
700,0.806,188.147,7795.78
600,0.806,211.193,6965.21
500,0.8055,244.2,6073.53
400,0.8055,290.276,5135.41
300,0.8045,365.631,4115.59
250,0.805,422.833,3574.74
200,0.8055,506.329,2999.36
180,0.806,554.017,2760.99
160,0.806,609.756,2517.04
140,0.8055,680.272,2262.74
120,0.805,769.231,2004.93
100,0.8015,892.857,1735.56
90,0.7995,975.61,1594.76
80,0.798,1069.52,1454.29
70,0.7975,1183.43,1311.34
60,0.795,1342.28,1164.7
55,0.7895,1438.85,1090.33
50,0.7885,1550.39,1013.27
45,0.787,1694.92,935.87
40,0.783,1818.18,856.725
35,0.778,2020.2,779.75
30,0.769,2298.85,699.715
25,0.7535,2597.4,620.255
20,0.7345,2985.07,541.175
15,0.713,3636.36,455.135
10,0.6705,4545.45,368.155
