ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_equality/tripclick_equality_Q2_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_equality/Q2_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,0.509,5405.41,380.335
1400,0.509,5405.41,380.335
1100,0.509,5405.41,380.335
1000,0.509,5405.41,380.335
900,0.509,5405.41,380.335
800,0.509,5555.56,380.335
700,0.509,5555.56,380.26
600,0.509,5714.29,379.845
500,0.509,5882.35,378.32
400,0.509,6060.61,374.875
300,0.509,6451.61,367.555
250,0.509,6666.67,361.545
200,0.509,6896.55,352.345
180,0.509,7142.86,347.43
160,0.509,7407.41,341.715
140,0.509,7692.31,334.45
120,0.509,8000,325.605
100,0.509,8333.33,314.865
90,0.509,8333.33,308.035
80,0.509,8695.65,300.235
70,0.509,9090.91,291.03
60,0.509,9523.81,280.39
55,0.509,9523.81,274.57
50,0.509,10000,268.065
45,0.509,10526.3,260.81
40,0.509,10526.3,253.23
35,0.509,11111.1,244.795
30,0.509,11764.7,235.5
25,0.5085,11764.7,224.69
20,0.508,12500,213.33
15,0.506,13333.3,200.11
10,0.505,15384.6,184.695
