ef,recall,qps,distance_computations_per_query
1700,0.7725,0.769305,996104
1400,0.7525,0.842354,917233
1100,0.7375,0.949375,833369
1000,0.7325,1.00085,800614
900,0.73,1.0533,766024
800,0.7275,1.11238,726187
700,0.71,1.19403,684560
600,0.6975,1.29908,637144
500,0.6875,1.43508,583748
400,0.68,1.63392,524384
300,0.6725,1.94799,450404
250,0.6725,2.18281,408998
200,0.655,2.51272,361268
180,0.65,2.68601,341206
160,0.64,2.90297,318548
140,0.63,3.18269,293578
120,0.615,3.56094,265597
100,0.585,4.06339,236118
90,0.57,4.37685,221147
80,0.5575,4.76247,204981
70,0.5425,5.25003,187600
60,0.515,5.87199,170352
55,0.5075,6.32111,159360
50,0.505,6.81779,149126
45,0.4975,7.5188,136451
40,0.485,8.38399,123601
35,0.4725,9.42285,111269
30,0.445,10.8489,98211.5
25,0.435,12.6342,85620.9
20,0.415,15.8793,69950.6
15,0.4,20.2737,56065.9
10,0.35,29.4118,39770.6
