ef,recall,qps,distance_computations_per_query
1700,0.735,0.918843,858847
1400,0.7275,1.00784,794121
1100,0.7225,1.14019,714910
1000,0.7225,1.20156,683896
900,0.72,1.27376,649024
800,0.7,1.36082,611638
700,0.6925,1.47053,570563
600,0.6875,1.60688,526670
500,0.6775,1.78396,478529
400,0.66,2.03149,426230
300,0.645,2.46503,359420
250,0.6375,2.80407,320843
200,0.615,3.27761,279791
180,0.6025,3.5417,260914
160,0.5975,3.82629,244303
140,0.5875,4.18104,225885
120,0.58,4.6729,204218
100,0.5575,5.36193,180216
90,0.5475,5.82666,167023
80,0.53,6.38264,153675
70,0.5275,7.07339,139762
60,0.5125,7.92707,125765
55,0.5,8.45666,118645
50,0.495,9.02731,111940
45,0.485,9.8912,102975
40,0.4725,10.7556,95667.4
35,0.4625,11.7855,88166.3
30,0.4525,13.2363,79272.9
25,0.44,15.3433,69347
20,0.4025,18.3486,59017.3
15,0.3875,24.0529,46230.8
10,0.3525,33.1675,34836
