ef,recall,qps,distance_computations_per_query
1700,0.735,0.921765,810804
1400,0.73,0.988533,760251
1100,0.7025,1.08681,698181
1000,0.7,1.12635,675400
900,0.6925,1.17692,650131
800,0.685,1.2327,623134
700,0.675,1.30382,593111
600,0.6675,1.39777,558316
500,0.655,1.52016,518795
400,0.6475,1.69047,474339
300,0.6225,1.97795,416618
250,0.615,2.18878,383228
200,0.5975,2.49082,343615
180,0.5675,2.64568,326098
160,0.565,2.90508,307245
140,0.56,3.11405,287682
120,0.545,3.43348,264362
100,0.53,3.85802,238916
90,0.53,4.15757,224195
80,0.5175,4.53978,207317
70,0.5125,4.97884,191694
60,0.4975,5.51648,174921
55,0.46,5.84454,166339
50,0.435,6.19867,157871
45,0.425,6.6324,149029
40,0.4125,7.21631,138536
35,0.4,7.97289,126997
30,0.39,8.97263,114139
25,0.375,10.3788,100294
20,0.37,12.8617,82571.7
15,0.315,16.7926,64695.5
10,0.2375,23.015,48557.8
