ef,recall,qps,distance_computations_per_query
1700,0.715,0.689417,1.08321e+06
1400,0.715,0.755487,1.02119e+06
1100,0.7125,0.839613,941513
1000,0.7125,0.876712,909880
900,0.7125,0.921425,875033
800,0.71,0.967375,834682
700,0.7075,1.03614,789756
600,0.7075,1.13552,734932
500,0.7025,1.27372,668407
400,0.695,1.47324,591422
300,0.69,1.81258,491022
250,0.6875,2.08888,432303
200,0.6825,2.45987,375000
180,0.68,2.64901,351700
160,0.67,2.89164,325799
140,0.6625,3.22373,294881
120,0.6525,3.65263,262944
100,0.6475,4.20831,230910
90,0.64,4.56361,214553
80,0.6275,4.99938,197142
70,0.62,5.55633,178837
60,0.6125,6.21794,161413
55,0.6125,6.66223,151200
50,0.605,7.17875,141079
45,0.6025,7.78665,130690
40,0.5975,8.58185,119284
35,0.59,9.55566,108185
30,0.57,10.8372,96458.9
25,0.545,12.7551,82721.4
20,0.535,15.7418,67894.2
15,0.5075,20.0904,54226.3
10,0.4775,28.5919,39297.4
