ef,recall,qps,distance_computations_per_query
1700,1,110.497,17093.9
1400,1,128.866,14852.2
1100,1,156.006,12432.3
1000,1,167.926,11583.9
900,0.9995,182.315,10694.7
800,0.9995,198.807,9796.03
700,0.9995,221.484,8841.42
600,0.9995,250.941,7848.09
500,0.9995,292.398,6818.07
400,0.9995,349.04,5737.69
300,0.999,436.681,4576.38
250,0.999,507.614,3957.11
200,0.999,611.621,3318.2
180,0.999,662.252,3058.7
160,0.999,727.273,2788.68
140,0.998,800,2511.66
120,0.998,900.901,2223.24
100,0.9965,1052.63,1929.79
90,0.9965,1149.43,1783.77
80,0.996,1250,1635.99
70,0.995,1388.89,1478.81
60,0.991,1574.8,1312.73
55,0.9885,1680.67,1228.51
50,0.986,1818.18,1142.23
45,0.9835,1980.2,1052.58
40,0.982,2150.54,966.025
35,0.9765,2380.95,876.285
30,0.9725,2666.67,787.265
25,0.9615,3076.92,691.625
20,0.9495,3571.43,597.08
15,0.925,4347.83,496.33
10,0.8785,5714.29,388.885
