ef,recall,qps,distance_computations_per_query
1700,0.9995,41.4594,24263.6
1400,0.9995,41.9551,24127.1
1100,0.9995,42.346,23922.8
1000,0.9995,42.4628,23833
900,1,43.0385,23685.9
800,0.9995,45.1773,23338.8
700,0.9995,47.7441,22724.1
600,0.999,51.2821,21845.7
500,1,55.6948,20728.7
400,0.9995,62.8536,19086
300,0.9995,73.4754,17003
250,0.999,82.85,15447
200,0.9995,95.2381,13796.8
180,0.9995,101.112,13054.9
160,0.9995,122.249,12096.6
140,0.9995,152.091,11074.8
120,0.9995,171.821,10002.5
100,0.999,197.239,8808.91
90,1,210.084,8282.19
80,0.9995,230.681,7614.32
70,0.9985,259.74,6827.85
60,0.9985,300.752,5920.19
55,0.998,334.448,5352.77
50,0.9975,360.36,4943.56
45,0.9975,403.226,4482.52
40,0.993,452.489,4006.86
35,0.9925,511.509,3564.55
30,0.99,569.801,3197.93
25,0.9845,632.911,2909.59
20,0.9745,760.456,2395.01
15,0.959,961.538,1923.38
10,0.9265,1315.79,1434.62
