ef,recall,qps,distance_computations_per_query
1700,0.999,124.146,15115.6
1400,0.999,141.844,13592.3
1100,0.999,166.528,11820.7
1000,0.999,177.305,11171.8
900,0.999,188.679,10464.9
800,0.999,205.761,9725.62
700,0.999,225.989,8932.88
600,0.999,244.798,8069.47
500,0.9985,230.947,7125.62
400,0.9985,272.48,6103.18
300,0.9985,333.333,4961.86
250,0.999,381.679,4353.17
200,0.999,450.45,3692.76
180,0.9985,576.369,3417.47
160,0.998,671.141,3125.11
140,0.9975,746.269,2829.68
120,0.9975,840.336,2514.9
100,0.997,970.874,2190.39
90,0.997,1052.63,2022.97
80,0.9955,1149.43,1849.7
70,0.9945,1273.89,1672.98
60,0.9925,1428.57,1487.99
55,0.9905,1526.72,1397.69
50,0.989,1639.34,1307.16
45,0.9865,1785.71,1208.05
40,0.984,1923.08,1108.44
35,0.9815,2127.66,1002.43
30,0.976,2380.95,904.645
25,0.9685,2739.73,791.6
20,0.9565,3225.81,672.21
15,0.932,4000,552.035
10,0.8915,5128.21,433.865
