L,Cmps,QPS,Recall
1700,24115,82.5082,97.23
1400,21127,95.5475,96.59
1100,17787,114.956,95.51
1000,16602,123.732,95.14
900,15378,134.409,94.65
800,14113,147.297,94.06
700,12797,163.399,93.48
600,11387,184.843,92.6
500,9904,213.174,91.46
400,8339,253.872,89.98
300,6654,321.13,87.65
250,5745,373.972,85.85
200,4802,450.248,83.83
180,4402,493.097,82.56
160,4012,541.419,81.27
140,3614,603.5,80.14
120,3182,689.18,78.02
100,2734,806.452,75.37
90,2515,876.424,74.24
80,2291,965.251,72.91
70,2063,1072.96,71.36
60,1821,1221,68.91
55,1699,1307.19,67.61
50,1581,1406.47,66.68
45,1457,1522.07,65.12
40,1331,1669.45,63.42
35,1208,1838.24,61.74
30,1078,2057.61,59.13
25,947,2336.45,56.28
20,814,2695.42,53.14
15,674,3246.75,48.97
10,529,4098.36,43.47
