L,Cmps,QPS,Recall
1700,6026,229.148,99.95
1400,5548,263.089,99.95
1100,4978,321.854,99.95
1000,4762,341.763,99.95
900,4529,365.364,99.95
800,4277,392.773,99.95
700,4001,426.803,99.95
600,3697,470.146,99.95
500,3360,526.316,99.94
400,2978,604.595,99.94
300,2535,726.744,99.94
250,2283,815.661,99.94
200,2000,946.074,99.91
180,1877,1012.15,99.9
160,1746,1092.9,99.86
140,1608,1196.17,99.8
120,1461,1324.5,99.77
100,1302,1499.25,99.73
90,1218,1607.72,99.69
80,1129,1742.16,99.68
70,1036,1904.76,99.53
60,938,2118.64,99.43
55,885,2242.15,99.32
50,833,2392.34,99.15
45,778,2557.54,98.99
40,720,2777.78,98.77
35,661,3030.3,98.47
30,598,3257.33,97.99
25,533,3745.32,97.38
20,465,4310.34,96.17
15,392,5128.21,94.15
10,316,6134.97,90.34
