ef_search,recall,qps
2000,0.8299,30.2
1900,0.8299,32.0
1800,0.8299,37.6
1700,0.8299,36.6
1600,0.8299,38.4
1500,0.8299,32.1
1400,0.8299,36.0
1300,0.8299,38.7
1200,0.8299,35.9
1100,0.8299,32.5
1000,0.8299,38.3
900,0.8218,36.6
800,0.8126,45.4
700,0.8011,47.2
600,0.7876,50.2
500,0.7707,64.4
400,0.7472,76.0
300,0.7142,86.9
250,0.6897,106.8
200,0.6586,124.2
180,0.6439,133.4
160,0.6257,142.5
140,0.6042,154.6
120,0.5798,167.7
100,0.5438,182.6
90,0.5184,174.0
80,0.4894,180.8
70,0.4549,196.3
60,0.4180,216.0
55,0.3985,227.9
50,0.3751,235.7
45,0.3466,252.7
40,0.3149,282.4
35,0.2813,291.8
30,0.2428,339.6
25,0.2006,471.8
20,0.1625,537.8
15,0.1178,605.9
10,0.0748,628.8
