probes,recall,qps
1,0.5039,84.5
2,0.6699,64.6
3,0.7576,46.1
5,0.8447,30.6
10,0.9206,14.2
20,0.9662,5.7
30,0.9798,4.3
50,0.9860,3.3
100,0.9897,2.0
200,0.9909,1.3
500,0.9920,0.5
1000,1.0000,0.5
