ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_containment/sift1m_containment_Q5_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_containment/Q5_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,141.343,25738
1400,1,158.529,22267.4
1100,1,197.902,18566.7
1000,1,217.794,17271.6
900,1,237.473,15941.1
800,0.99995,262.261,14571.9
700,0.99995,292.654,13147.2
600,0.99995,332.447,11671
500,0.9998,386.922,10130.1
400,0.99975,466.418,8507.46
300,0.99935,594.001,6776.93
250,0.99865,659.631,5855.61
200,0.998,822.03,4902.06
180,0.99715,898.876,4506.22
160,0.99655,992.556,4100.15
140,0.99515,1108.65,3686.49
120,0.9927,1262.63,3256.24
100,0.9899,1468.43,2814.37
90,0.98795,1610.31,2585.06
80,0.98525,1779.36,2352.29
70,0.98145,1980.2,2113.65
60,0.9747,2259.89,1870.5
55,0.97075,2427.18,1744.92
50,0.96565,2635.05,1619.33
45,0.95925,2865.33,1489.75
40,0.95155,3159.56,1360.54
35,0.94185,3527.34,1230.84
30,0.92895,3992.02,1095.04
25,0.9109,4608.29,959.305
20,0.88305,5464.48,816.925
15,0.84255,6779.66,674.298
10,0.76835,8888.89,524.986
