ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_containment/sift1m_containment_Q4_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_containment/Q4_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,91.191,36790.5
1400,1,112.752,32072.2
1100,1,132.661,26999.6
1000,1,146.37,25209
900,1,159.172,23355.6
800,0.99995,170.678,21438.9
700,0.99995,179.26,19437.7
600,0.99995,204.771,17347.8
500,0.99995,247.402,15142.3
400,0.99995,309.693,12807.8
300,0.9998,391.696,10295
250,0.99965,454.649,8954.75
200,0.99955,546.299,7539.33
180,0.99935,595.948,6941.38
160,0.99915,655.308,6328.07
140,0.9989,731.261,5699.28
120,0.9978,831.947,5042.58
100,0.99655,968.523,4361.97
90,0.99515,1058.76,4012.25
80,0.99355,1165.5,3654.74
70,0.99105,1302.93,3282.1
60,0.9885,1488.1,2899.08
55,0.98635,1597.44,2700.17
50,0.9837,1737.62,2500.18
45,0.97955,1901.14,2293.51
40,0.97405,2087.68,2087.29
35,0.9677,2344.67,1878.47
30,0.9588,2666.67,1659.03
25,0.94495,3105.59,1437.97
20,0.92465,3696.86,1210.75
15,0.891,4694.84,972.333
10,0.82855,6430.87,724.788
