ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/sift1m/sift_base.fvecs
/root/work/lssg/example/quantile_partitions/sift1m_containment/sift1m_containment_Q2_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/sift1m_containment/Q2_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6916494
All Points:: 2712501
1700,1,90.8471,30514
1400,1,103.504,27347.3
1100,1,122.812,23749.5
1000,1,137.25,22445.2
900,1,149.779,21069.6
800,1,173.34,19614.9
700,1,191.168,18069.4
600,1,207.814,16399
500,1,236.883,14592.1
400,1,259.673,12620.9
300,1,321.802,10425.5
250,1,415.714,9214.55
200,1,494.071,7913.44
180,1,536.913,7360.51
160,1,583.942,6765.9
140,1,640.82,6156.63
120,1,721.241,5520.23
100,0.99995,831.255,4842.15
90,0.99955,902.935,4485.76
80,0.9992,991.08,4116.22
70,0.9988,1098.9,3732.72
60,0.9984,1242.24,3325.62
55,0.9978,1331.56,3115.98
50,0.9974,1434.72,2902.83
45,0.9962,1549.19,2685.88
40,0.9948,1710.86,2459.99
35,0.99285,1901.14,2225.34
30,0.98915,2141.33,1977.83
25,0.9827,2325.58,1724.1
20,0.97135,2710.03,1461
15,0.9488,3395.59,1178.19
10,0.90355,4608.29,882.92
