ef_search,recall,qps
2000,1.0000,2.7
1900,1.0000,2.8
1800,1.0000,2.8
1700,1.0000,2.8
1600,1.0000,2.8
1500,1.0000,2.8
1400,1.0000,2.7
1300,1.0000,2.8
1200,1.0000,2.8
1100,1.0000,2.8
1000,1.0000,2.7
900,1.0000,2.7
800,1.0000,2.7
700,1.0000,2.7
600,0.9953,15.0
500,0.9774,25.7
400,0.9452,32.0
300,0.9026,40.1
250,0.8680,46.6
200,0.8173,54.1
180,0.7942,59.6
160,0.7649,62.6
140,0.7356,67.9
120,0.6952,74.0
100,0.6503,78.3
90,0.6222,83.1
80,0.5922,90.1
70,0.5582,94.2
60,0.5180,100.9
55,0.4977,106.1
50,0.4760,110.3
45,0.4510,112.4
40,0.4245,116.6
35,0.3951,121.4
30,0.3661,125.3
25,0.3323,131.6
20,0.2954,137.6
15,0.2512,144.2
10,0.2071,149.9
