L,Cmps,QPS,Recall
1700,1157,1081.08,100
1400,1149,1142.86,100
1100,1130,1212.12,100
1000,1117,1212.12,100
900,1097,1290.32,100
800,1068,1333.33,100
700,1045,1379.31,100
600,1012,1481.48,99.75
500,982,1600,99.75
400,947,1739.13,99.75
300,899,2000,99.75
250,872,2105.26,99.75
200,836,2222.22,99.75
180,816,2352.94,99.75
160,796,2500,99.75
140,768,2666.67,99.75
120,740,2857.14,99.75
100,702,3076.92,99.75
90,681,3076.92,99.75
80,655,3333.33,99.75
70,627,3636.36,99.75
60,594,3636.36,99.75
55,571,4000,99.75
50,548,4000,99.5
45,523,4444.44,99.25
40,494,5000,99.25
35,467,5000,99.25
30,431,5714.29,99.25
25,390,6666.67,98.75
20,346,6666.67,97.75
15,292,8000,96
10,233,13333.3,94.25
