probes,recall,qps
1,0.4308,35.5
2,0.5515,33.6
3,0.6185,31.6
5,0.7010,28.3
10,0.8063,23.1
20,0.9149,15.3
30,0.9927,4.8
50,0.9482,12.6
100,0.9750,8.4
200,0.9913,4.0
500,0.9999,1.5
1000,0.9999,1.7
