Minhash
sift	293.192	111.026
gist	182.087	218.308
LAION	285.44	161.431
tripclick	200.613	222.134
ytb-video	241.243	255.563
ytb-audio	1231.604	751.892
yfcc	520.254	111.718

ivf
sift	311.954	133.078
gist	204.737	241.27
LAION	271.372	197.719
tripclick	199.872	270.009
ytb-video	136.164	287.226
ytb-audio	1069.426	946.089
yfcc	239.406	379.056
