L,Cmps,QPS,Recall
1700,66485,80.9736,91.083
1400,57554,96.0726,88.615
1100,47838,120.627,85.12
1000,44392,131.65,83.655
900,40845,144.3,81.935
800,37150,157.599,79.839
700,33287,179.485,77.318
600,29300,207.905,74.304
500,25148,246.664,70.645
400,20795,308.461,65.98
300,16219,396.087,59.859
250,13852,454.587,55.952
200,11403,558.005,51.257
180,10397,627.471,49.015
160,9387,694.107,46.727
140,8347,777.544,43.975
120,7295,887.075,41.001
100,6228,1031.35,37.835
90,5684,1131.48,36.065
80,5131,1196.03,34.049
70,4576,1319.96,31.897
60,4012,1492.31,29.63
55,3723,1596.93,28.36
50,3432,1713.8,26.986
45,3140,1858.05,25.66
40,2847,2021.02,24.207
35,2549,2220.25,22.694
30,2251,2478.93,21.043
25,1946,2774.69,19.182
20,1636,3190.81,17.194
15,1321,3750.94,14.983
10,999,4604.05,12.407
