L,Cmps,QPS,Recall
1700,16039,93.7207,99.8
1400,14170,108.932,99.8
1100,12110,130.208,99.8
1000,11365,140.449,99.8
900,10595,151.172,99.75
800,9789,164.745,99.7
700,8941,180.668,99.65
600,8038,204.708,99.6
500,7077,235.018,99.55
400,6037,278.94,99.5
300,4902,349.04,99.1
250,4292,401.606,98.95
200,3636,477.327,98.55
180,3359,519.481,98.4
160,3071,574.713,98.2
140,2774,638.978,97.85
120,2467,724.638,96.9
100,2145,836.82,95.95
90,1978,913.242,95.25
80,1806,1005.03,94.5
70,1634,1117.32,93.7
60,1451,1265.82,92.4
55,1360,1351.35,91.6
50,1267,1459.85,90
45,1172,1574.8,88.6
40,1076,1709.4,87
35,972,1923.08,84.85
30,874,2150.54,83
25,771,2439.02,79.2
20,668,2816.9,75.15
15,553,3448.28,69.3
10,436,4545.45,61.05
