ef,recall,qps,distance_computations_per_query
1700,0.903,8.92061,157067
1400,0.903,10.812,136041
1100,0.903,12.9676,113273
1000,0.903,14.0321,105156
900,0.903,15.294,96872.6
800,0.903,16.8449,88310.9
700,0.903,18.7882,79569
600,0.903,21.347,70335.8
500,0.903,27.7816,60632.4
400,0.903,34.1647,50391.4
300,0.903,38.432,39644
250,0.903,47.0367,34000.2
200,0.903,54.1419,28244
180,0.903,59.2417,25874
160,0.903,65.6599,23387.1
140,0.903,73.5294,20956.5
120,0.903,96.9932,18499.1
100,0.9025,119.332,15873.4
90,0.9025,131.32,14494.8
80,0.9025,144.718,13219.3
70,0.903,147.275,11832.5
60,0.9025,153.728,10345.7
55,0.902,163.399,9651.91
50,0.902,176.678,8954.22
45,0.901,192.678,8215.76
40,0.9005,210.97,7505.57
35,0.9,235.571,6750.54
30,0.897,271.37,5895.59
25,0.894,314.465,5082.31
20,0.8905,382.409,4211.11
15,0.8815,485.437,3338.21
10,0.8645,673.401,2433.26
