ef,recall,qps,distance_computations_per_query
1700,0.6805,50.2639,29893.4
1400,0.68,53.0223,29064.5
1100,0.68,57.3723,27741.7
1000,0.6805,59.4707,27139.2
900,0.68,61.9963,26411
800,0.6805,65.2103,25558.3
700,0.68,65.3808,24501.6
600,0.68,60.8273,23201.9
500,0.6805,76.1325,21635.2
400,0.6805,81.2348,19685.8
300,0.6805,101.266,17157.1
250,0.6805,120.7,15636.1
200,0.6805,139.179,13813.2
180,0.68,148.258,12993
160,0.6795,161.421,12082.4
140,0.6795,177.148,11110.7
120,0.679,196.464,10090.9
100,0.6795,221.484,8990.72
90,0.679,242.131,8284.79
80,0.6795,262.123,7681.57
70,0.6795,288.6,7010.19
60,0.68,324.675,6265.9
55,0.68,344.828,5874.1
50,0.6805,373.134,5468.95
45,0.68,406.504,5047.54
40,0.6805,443.459,4634.24
35,0.681,492.611,4182.76
30,0.68,563.38,3674.76
25,0.6795,643.087,3224.16
20,0.678,763.359,2699.18
15,0.676,956.938,2162.83
10,0.6715,1324.5,1589.88
