ef,recall,qps,distance_computations_per_query
1700,0.8095,17.5901,75588.2
1400,0.8095,19.8906,68548.4
1100,0.8095,23.3209,60072.2
1000,0.8095,24.7494,56882.1
900,0.8095,26.5569,53458.5
800,0.8095,33.1126,49733.6
700,0.8095,32.5098,45746.8
600,0.8095,35.4296,41485.3
500,0.8095,40.3633,36881.2
400,0.8095,48.7211,31685.9
300,0.8095,59.8982,25919.3
250,0.8095,68.1431,22794.2
200,0.8095,80.5477,19383.8
180,0.8095,88.0282,17867.3
160,0.8095,96.0615,16456.7
140,0.8095,106.045,14931.4
120,0.8095,126.984,13287.4
100,0.809,138.026,11555.5
90,0.809,150.263,10674.1
80,0.809,164.204,9770.33
70,0.809,183.655,8771.19
60,0.809,204.499,7859.12
55,0.8085,221.484,7318.98
50,0.8085,236.686,6819.63
45,0.8085,259.403,6299.49
40,0.808,286.533,5702.94
35,0.808,313.972,5163.93
30,0.8055,357.143,4577.06
25,0.8055,413.223,3968.37
20,0.802,493.827,3342.55
15,0.794,630.915,2618.34
10,0.775,862.069,1919.68
