ef,recall,qps,distance_computations_per_query
1700,0.679,54.93,22605.6
1400,0.679,55.2944,22518.5
1100,0.679,48.9716,22409.5
1000,0.679,47.2813,22366.1
900,0.679,47.3709,22318.8
800,0.679,47.4721,22267.1
700,0.679,49.9376,22205.1
600,0.679,56.3857,22127.2
500,0.679,57.0613,22001.6
400,0.679,57.7534,21782.9
300,0.679,59.1541,21402.9
250,0.679,59.9341,21124
200,0.679,60.8828,20750.8
180,0.679,61.6713,20558.7
160,0.679,63.5122,20222
140,0.679,66.313,19707.3
120,0.679,71.7618,18861.3
100,0.679,79.3021,17711.6
90,0.679,82.85,17188.9
80,0.679,88.5347,16396.1
70,0.6795,96.3391,15506.1
60,0.6795,105.764,14476.9
55,0.6795,109.709,14052.9
50,0.6795,116.077,13468.3
45,0.6795,123.153,12832.9
40,0.679,135.685,11963.4
35,0.6785,145.138,11303.7
30,0.678,158.228,10487.6
25,0.6785,175.593,9579.08
20,0.6785,212.766,8013.16
15,0.677,244.798,7154.11
10,0.674,363.636,5007.71
