L,Cmps,QPS,Recall
1700,89.00,17851.90,100.00
1400,89.00,27713.82,100.00
1100,89.00,29408.55,100.00
1000,89.00,29594.70,100.00
900,89.00,30018.18,100.00
800,89.00,30507.37,100.00
700,89.00,30402.88,100.00
600,89.00,29904.27,100.00
500,89.00,29706.26,100.00
400,89.00,29968.43,100.00
300,89.00,31101.11,100.00
250,89.00,30892.29,100.00
200,89.00,31244.73,100.00
180,89.00,31349.82,100.00
160,89.00,31405.11,100.00
140,89.00,31684.45,100.00
120,89.00,32090.69,100.00
100,89.00,32474.59,100.00
90,89.00,32013.69,100.00
80,89.00,32521.17,100.00
70,89.00,33076.14,100.00
60,89.00,34486.77,100.00
55,89.00,35456.58,100.00
50,89.00,35887.21,100.00
45,89.00,36192.10,100.00
40,88.00,37456.02,100.00
35,88.00,39507.45,100.00
30,88.00,41166.53,100.00
25,87.00,43157.81,99.85
20,85.00,45438.29,99.70
15,83.00,49167.97,99.00
10,77.00,54645.91,96.95
