L,Cmps,QPS,Recall
1700,78848,24.9122,72.47
1400,68857,28.1524,70.26
1100,57833,31.8725,67.36
1000,53860,33.34,66.33
900,49756,35.1025,65.24
800,45478,37.1457,63.78
700,41004,39.7947,62.07
600,36341,42.6094,60.25
500,31404,46.0299,57.95
400,26191,49.9226,55.33
300,20624,56.802,51.66
250,17710,59.2382,49.39
200,14648,63.2751,46.8
180,13395,64.8508,45.53
160,12119,66.9613,44.48
140,10815,69.1994,42.94
120,9491,71.7978,41.24
100,8130,74.8223,39.1
90,7435,76.4292,38.08
80,6722,78.2105,36.65
70,6004,80.0833,35.26
60,5271,82.0883,33.53
55,4899,83.2293,32.49
50,4525,84.4666,31.52
45,4149,85.7045,30.48
40,3765,87.3897,29.24
35,3377,89.0789,27.9
30,2976,89.9766,26.42
25,2573,91.416,24.76
20,2166,93.2053,23.12
15,1745,95.0842,20.88
10,1308,97.0685,17.65
