L,Cmps,QPS,Recall
1700,6806,192.827,91.92
1400,6088,207.34,90.85
1100,5285,226.04,89.34
1000,4988,233.209,88.75
900,4672,241.955,87.96
800,4339,250.815,87.06
700,3989,263.296,85.96
600,3610,276.472,84.57
500,3201,290.951,82.83
400,2754,308.547,80.11
300,2258,335.909,77.12
250,1984,351,74.96
200,1690,366.569,72.22
180,1566,373.832,70.79
160,1441,376.223,69.51
140,1304,390.93,67.78
120,1169,406.504,66.17
100,1024,418.76,64.05
90,951,422.119,62.59
80,872,429.369,60.62
70,790,434.405,58.43
60,705,444.247,56.02
55,661,448.029,54.76
50,618,453.309,53.35
45,575,457.038,51.76
40,526,459.559,50.2
35,478,468.384,48.23
30,426,466.636,46.07
25,376,474.158,44.01
20,323,486.145,41.55
15,267,487.329,38.43
10,206,497.512,34.55
