L,Cmps,QPS,Recall
1700,1163,1620.75,96.49
1400,1115,1769.91,96.49
1100,1051,1956.95,96.49
1000,1025,2040.82,96.49
900,995,2127.66,96.49
800,962,2227.17,96.49
700,924,2352.94,96.49
600,879,2506.27,96.49
500,826,2717.39,96.49
400,763,3058.1,96.49
300,684,3558.72,96.49
250,637,3921.57,96.49
200,582,4424.78,96.49
180,557,4310.34,96.49
160,530,4807.69,96.49
140,501,5154.64,96.49
120,469,5586.59,96.49
100,433,6097.56,96.5
90,413,6451.61,96.53
80,393,6944.44,96.61
70,370,7407.41,96.72
60,345,8064.52,96.94
55,332,8474.58,97.08
50,318,8928.57,97.15
45,303,9345.79,97.19
40,288,10101,97.41
35,271,10869.6,97.49
30,252,11764.7,97.56
25,232,12987,97.58
20,210,14705.9,97.63
15,185,17241.4,97.34
10,156,20833.3,96.77
