ef,recall,qps,distance_computations_per_query
1700,0.9785,0.358398,2665350
1400,0.978,0.394292,2412650
1100,0.977,0.473501,2116620
1000,0.976,0.492956,2002910
900,0.976,0.532007,1881200
800,0.9755,0.59174,1751220
700,0.975,0.66021,1607820
600,0.973,0.714942,1462300
500,0.9715,0.863234,1298870
400,0.97,0.99979,1112160
300,0.9695,1.29237,904310
250,0.9655,1.60322,786936
200,0.962,1.94396,655865
180,0.9615,2.24039,602105
160,0.9605,2.50294,546127
140,0.959,2.77177,488004
120,0.957,3.21383,429073
100,0.9565,3.52131,367383
90,0.9535,3.79514,339088
80,0.952,4.58884,308602
70,0.9495,4.86275,277883
60,0.9465,5.61199,247651
55,0.9445,6.42013,232167
50,0.9425,6.34981,215343
45,0.944,6.93241,199481
40,0.9415,8.53789,181555
35,0.9395,9.65344,162217
30,0.937,9.71345,144041
25,0.9355,10.8009,126530
20,0.9325,15.0682,108972
15,0.924,19.9183,89248.2
10,0.9105,27.9369,67823.7
