ef,recall,qps,distance_computations_per_query
1700,0.9465,0.219204,3923840
1400,0.946,0.236845,3608710
1100,0.945,0.278134,3212770
1000,0.945,0.286571,3061320
900,0.945,0.304875,2898710
800,0.9445,0.338147,2723240
700,0.944,0.368454,2531150
600,0.944,0.396222,2315350
500,0.9435,0.462788,2074970
400,0.9425,0.547441,1791340
300,0.94,0.720282,1467320
250,0.9395,0.831241,1291190
200,0.9385,1.02431,1104580
180,0.9385,1.16724,1021270
160,0.9375,1.23107,930691
140,0.9375,1.40205,836473
120,0.9375,1.64883,739467
100,0.935,1.94065,640298
90,0.9345,2.1623,586631
80,0.9325,2.44984,530066
70,0.9305,2.60064,470945
60,0.928,3.24212,413510
55,0.9265,3.38404,384203
50,0.925,3.8359,351985
45,0.9225,4.2461,319817
40,0.919,4.73507,286544
35,0.9145,5.22125,256198
30,0.91,6.0794,228294
25,0.904,6.99056,202252
20,0.8955,8.23045,176722
15,0.885,10.3141,148449
10,0.873,14.2765,115863
