ef,recall,qps,distance_computations_per_query
1700,0.979,0.388628,2402940
1400,0.979,0.429867,2180610
1100,0.978,0.504189,1925280
1000,0.9775,0.542572,1828690
900,0.9775,0.537955,1728730
800,0.977,0.626553,1621140
700,0.9755,0.648239,1501400
600,0.975,0.761215,1368910
500,0.974,0.845959,1220320
400,0.972,1.09777,1056090
300,0.97,1.30148,868241
250,0.9685,1.57337,762598
200,0.966,1.69934,649757
180,0.964,1.95817,601694
160,0.9635,2.43202,553601
140,0.9625,2.77539,502938
120,0.9595,3.1837,447070
100,0.9555,3.74553,387207
90,0.955,3.94586,355832
80,0.954,4.48863,322468
70,0.9495,4.91969,287705
60,0.947,5.20711,251328
55,0.9455,5.55432,232135
50,0.9405,6.26154,213420
45,0.94,6.77622,192630
40,0.936,8.6479,173104
35,0.933,10.1276,155015
30,0.929,11.3779,137605
25,0.9185,13.0081,122510
20,0.907,13.3494,108325
15,0.8725,18.4281,91537.4
10,0.8435,26.6383,69516.6
