ef,recall,qps,distance_computations_per_query
1700,0.985,0.545539,1639230
1400,0.9835,0.603417,1506800
1100,0.982,0.723956,1346730
1000,0.982,0.754299,1287130
900,0.9805,0.771174,1223760
800,0.979,0.837809,1155480
700,0.978,0.871779,1080510
600,0.9765,0.925913,997947
500,0.975,1.11704,905315
400,0.974,1.31052,790152
300,0.9715,1.54735,657907
250,0.97,2.03403,582828
200,0.9665,2.5073,498367
180,0.966,2.81702,461928
160,0.966,2.86693,422457
140,0.963,3.58096,376944
120,0.9625,4.14577,333498
100,0.961,4.77989,285026
90,0.96,5.09191,258544
80,0.9595,5.49813,233667
70,0.958,6.68628,210745
60,0.9575,7.1314,184255
55,0.9565,8.59439,169926
50,0.955,9.4069,156854
45,0.955,10.5307,140293
40,0.954,11.7295,126001
35,0.949,11.4877,111441
30,0.9465,13.1294,95955.2
25,0.945,15.1538,84450.7
20,0.94,17.8603,73752.6
15,0.931,23.9693,61739.2
10,0.9055,35.1309,49206.1
