L,Cmps,QPS,Recall
1700,1966,634.921,93.25
1400,1929,677.966,92.5
1100,1882,714.286,93.25
1000,1858,754.717,91.25
900,1845,769.231,92.25
800,1829,800,92.25
700,1804,816.327,91.25
600,1766,851.064,91
500,1727,888.889,91.25
400,1668,952.381,90
300,1585,1025.64,90.75
250,1528,1081.08,88.75
200,1449,1142.86,88.25
180,1403,1176.47,87.25
160,1352,1290.32,87.5
140,1290,1333.33,87.25
120,1214,1428.57,86.75
100,1137,1538.46,85.75
90,1086,1600,85
80,1041,1666.67,84.75
70,966,1904.76,84.5
60,909,2000,84
55,874,2000,83.75
50,836,1739.13,83.75
45,803,2222.22,82.75
40,773,2222.22,82.75
35,726,2352.94,82
30,675,2500,80.25
25,615,2857.14,78
20,540,3076.92,75.5
15,473,3636.36,72.25
10,379,4000,68.75
