L,Cmps,QPS,Recall
1700,21217,318.776,98.46
1400,18740,377.145,98.01
1100,15944,422.476,97.035
1000,14955,497.141,96.825
900,13913,544.959,96.35
800,12805,604.778,95.695
700,11649,679.117,95.09
600,10438,667.111,94.405
500,9127,810.373,93.31
400,7726,1160.09,91.81
300,6193,1497.01,89.24
250,5366,1762.11,87.43
200,4490,2143.62,85.04
180,4122,2358.49,83.755
160,3742,2631.58,82.095
140,3357,2958.58,80.435
120,2966,3372.68,78.62
100,2553,3960.4,75.7
90,2342,4376.37,74.115
80,2128,4830.92,72.235
70,1904,5434.78,69.86
60,1679,6211.18,67.295
55,1564,6688.96,65.835
50,1448,7272.73,64.085
45,1334,7936.51,62.64
40,1216,8733.62,60.595
35,1098,9708.74,58.14
30,972,10869.6,55.135
25,844,12658.2,51.645
20,718,15151.5,47.95
15,587,18691.6,43.08
10,450,24691.4,36.965
