L,Cmps,QPS,Recall
1700,59458,45.5996,86.25
1400,51434,53.2481,85.35
1100,42562,64.9773,82.6
1000,39507,70.1262,81.5
900,36322,76.3359,80.2
800,33149,83.682,79.55
700,29672,93.4143,77.9
600,26214,105.485,76.4
500,22585,121.951,74.55
400,18826,145.455,72.1
300,14766,182.149,69.45
250,12655,210.305,66.95
200,10467,250,63.45
180,9558,271.003,61.6
160,8688,294.985,60.6
140,7729,326.797,58.85
120,6788,362.319,56.4
100,5842,414.938,54.5
90,5365,445.434,52.65
80,4871,481.928,51.2
70,4370,527.704,49.3
60,3827,583.09,47.2
55,3539,621.118,45.75
50,3269,657.895,44.45
45,2995,701.754,42.9
40,2743,751.88,41.9
35,2473,800,41
30,2202,869.565,39.35
25,1928,947.867,37.05
20,1643,1058.2,35.15
15,1333,1204.82,31.6
10,1013,1398.6,27.15
